name,state_id,lat,lon,population,is_capital
Port Isabel,TX,26.0734119,-97.2085844,5006,0
Normandy,MO,38.7208842,-90.2973359,5008,0
Anthony,TX,31.9992676,-106.6055478,5011,0
West Sayville,NY,40.7278763,-73.0976118,5011,0
Evansville,WI,42.7802831,-89.2992838,5012,0
Kutztown,PA,40.5173165,-75.7774177,5012,0
Munroe Falls,OH,41.1445006,-81.4398342,5012,0
North Fond du Lac,WI,43.8113769,-88.4834419,5014,0
Cave Creek,AZ,33.8333333,-111.9508333,5015,0
Lake Alfred,FL,28.091963,-81.7234114,5015,0
Big Bear Lake,CA,34.2438964,-116.9114215,5019,0
Poplar Grove,IL,42.3683522,-88.822047,5023,0
Dellwood,MO,38.749495,-90.2856687,5025,0
Creswell,OR,43.9179023,-123.0245261,5031,0
Fairwood,MD,38.9562875,-76.7776466,5031,0
Thiells,NY,41.21065,-74.0176411,5032,0
Valparaiso,FL,30.5085309,-86.5027282,5036,0
Manor,TX,30.3407629,-97.5569456,5037,0
Ahoskie,NC,36.2868223,-76.9846808,5039,0
Morganville,NJ,40.3764975,-74.2443117,5040,0
Lawrenceburg,IN,39.090891,-84.8499504,5042,0
Waynesboro,MS,31.674883,-88.6461465,5043,0
Winona,MS,33.4820678,-89.7281369,5043,0
Crystal Springs,MS,31.987378,-90.3570353,5044,0
Franklin,NJ,41.1220409,-74.5804378,5045,0
Jackson,GA,33.2945651,-83.9660209,5045,0
Moab,UT,38.5733155,-109.5498395,5046,0
Stokesdale,NC,36.2370802,-79.979483,5047,0
Mount Arlington,NJ,40.9259319,-74.6348829,5050,0
Jonesborough,TN,36.2942722,-82.4734787,5051,0
Mocksville,NC,35.8940263,-80.5614494,5051,0
Eagleton Village,TN,35.7950835,-83.9318473,5052,0
Hampton,MD,39.4228844,-76.5846899,5052,0
Holbrook,AZ,34.9022483,-110.1581768,5053,0
Desloge,MO,37.8708846,-90.5273473,5054,0
Lone Grove,OK,34.1793190006,-97.2865776885,5054,0
Savannah,MO,39.9416606,-94.8302452,5057,0
Apple Valley,OH,40.4389,-82.35391,5058,0
Medical Lake,WA,47.5729426,-117.6821604,5060,0
Warm Mineral Springs,FL,27.0597789,-82.2600925,5061,0
Swoyersville,PA,41.2917475,-75.8746407,5062,0
Lake City,MN,44.4494119,-92.2668435,5063,0
Blakely,GA,31.3776754,-84.934092,5068,0
Slinger,WI,43.333613,-88.2862065,5068,0
Cold Spring Harbor,NY,40.8714873,-73.456788,5070,0
Flora,IL,38.6689364,-88.4856042,5070,0
Shenandoah,PA,40.8203658,-76.2007734,5071,0
Añasco,PR,18.2827291,-67.1396245,5075,0
Carthage,MS,32.7326356,-89.5361825,5075,0
North Hills,NY,40.7809343,-73.6765187,5075,0
Kensington,CA,37.9104805,-122.2802471,5077,0
North Scituate,MA,42.21899,-70.7855981,5077,0
Oxford,PA,39.7853861,-75.9788349,5077,0
Chittenango,NY,43.0450671,-75.86658,5081,0
Collegeville,PA,40.1856597,-75.451571,5089,0
Zapata,TX,26.9072605,-99.2714255,5089,0
Toronto,OH,40.4642335,-80.6009058,5091,0
Wahneta,FL,27.9528015,-81.7270239,5091,0
Clover,SC,35.1112478,-81.2264646,5094,0
Marseilles,IL,41.3308666,-88.7081293,5094,0
Harrah,OK,35.4934559006,-97.1874238885,5095,0
Woodstock,VA,38.8817784,-78.5058429,5097,0
Colona,IL,41.4839233,-90.3531827,5099,0
Milan,IL,41.453089,-90.5720803,5099,0
El Cerrito,CA,33.8405721,-117.5228254,5100,0
Mascotte,FL,28.5783313,-81.8867452,5101,0
Piedmont,SC,34.7023389,-82.4645714,5103,0
Benson,AZ,31.9678611,-110.2945174,5105,0
Berthoud,CO,40.3083174,-105.0810924,5105,0
Harlan,IA,41.653044,-95.3255541,5106,0
Tipton,IN,40.2822598,-86.041098,5106,0
Cidra,PR,18.1757914,-66.1612779,5109,0
Farrell,PA,41.2122785,-80.4967368,5111,0
Watonga,OK,35.8487128006,-98.4369110885,5111,0
Clarks Summit,PA,41.4886892,-75.7085248,5116,0
Sunset,UT,41.1363328,-112.0310537,5122,0
Williams,CA,39.1546137,-122.1494187,5123,0
Perry,OK,36.2934329006,-97.3118813885,5126,0
Sunnyvale,TX,32.7965165,-96.5608242,5130,0
Wheatley Heights,NY,40.76371,-73.3698426,5130,0
New Hempstead,NY,41.1498175,-74.0337521,5132,0
Kingsford,MI,45.7949561,-88.0720706,5133,0
Tichigan,WI,42.8289045,-88.1975898,5133,0
Staunton,IL,39.0122684,-89.7912063,5139,0
Alexandria,IN,40.2628184,-85.675809,5145,0
Salem,NJ,39.5717796,-75.4671423,5146,0
Penns Grove,NJ,39.7295581,-75.4679734,5147,0
Bridgeville,PA,40.3561805,-80.1100556,5148,0
Chardon,OH,41.6142173,-81.1489883,5148,0
Monee,IL,41.420034,-87.7417115,5148,0
Cochran,GA,32.3868278,-83.3546098,5150,0
Lakehills,TX,29.604672,-98.943086,5150,0
Shenandoah,IA,40.7655528,-95.3722103,5150,0
Olyphant,PA,41.4684138,-75.6029656,5151,0
Somerdale,NJ,39.8440027,-75.0226691,5151,0
Sunnyslope,CA,34.0119582,-117.4333807,5153,0
Fairfield,IL,38.378937,-88.3597684,5154,0
Mayville,WI,43.4941611,-88.5448237,5154,0
Calistoga,CA,38.5787966,-122.5797054,5155,0
Arnold,PA,40.5800669,-79.7667152,5157,0
Muleshoe,TX,34.2264676,-102.7238264,5158,0
Central,SC,34.7242749,-82.7812526,5159,0
Penn Yan,NY,42.6609026,-77.0538577,5159,0
Glencoe,AL,33.957043,-85.9324698,5160,0
Birdsboro,PA,40.2645371,-75.8040852,5163,0
Grafton,WV,39.3409249,-80.0189659,5164,0
Lucas,TX,33.0842854,-96.5766577,5166,0
Cumberland,IN,39.7761534,-85.9572036,5169,0
Layhill,MD,39.0923305,-77.0444222,5169,0
Edgewater,CO,39.7530425,-105.0641503,5170,0
Brookhaven,WV,39.6117487,-79.904506,5171,0
Waterloo,NY,42.9047884,-76.8627368,5171,0
Bear Valley Springs,CA,35.1591307,-118.6284245,5172,0
Davison,MI,43.0347491,-83.5180063,5173,0
Childersburg,AL,33.2781686,-86.3549774,5175,0
Chackbay,LA,29.8835389,-90.7973151,5177,0
De Funiak Springs,FL,30.7210227,-86.1152184,5177,0
Manchester,IA,42.484154,-91.4554252,5179,0
Manvel,TX,29.4627365,-95.357994,5179,0
Port Allen,LA,30.4521351,-91.2101081,5180,0
Westmont,PA,40.3156297,-78.9516928,5181,0
Albertson,NY,40.7734341,-73.6431844,5182,0
Richland Center,WI,43.3347053,-90.3867928,5184,0
Saint Clairsville,OH,40.0806266,-80.9000916,5184,0
Sheldon,IA,43.1810893,-95.8561276,5188,0
Kayenta,AZ,36.7277769,-110.2545767,5189,0
Winterset,IA,41.3308237,-94.0138393,5190,0
Sidney,MT,47.7166836,-104.1563253,5191,0
Center,TX,31.7954512,-94.1790862,5193,0
Genoa,IL,42.097248,-88.6928688,5193,0
Highpoint,FL,27.9169666,-82.7128781,5195,0
Mechanicville,NY,42.9028547,-73.6873405,5196,0
Fellsmere,FL,27.767806,-80.6014442,5197,0
Hutchinson Island South,FL,27.3264788,-80.2111923,5201,0
Grandwood Park,IL,42.3930769,-87.9867449,5202,0
Saranap,CA,37.8849248,-122.0760744,5202,0
Preston,ID,42.0963133,-111.8766173,5204,0
Vandergrift,PA,40.6028434,-79.5647667,5205,0
Berkeley,IL,41.8889194,-87.9033956,5209,0
Eaton Rapids,MI,42.5092039,-84.655814,5214,0
Kennebunk,ME,43.383974,-70.5447751,5214,0
Floral City,FL,28.7499876,-82.2967581,5217,0
Bowie,TX,33.5589953,-97.8486457,5218,0
Greenwood,MO,38.8516751,-94.3438378,5221,0
Jackson,AL,31.5090521,-87.8944435,5228,0
